TIMETABLE

SUBJECTS
f,f,f,f,f,f,
f,f,Labaaaaaaa,Labaaaaaaa,f,f,
f,f,f,f,f,f,
f,f,f,f,Labaaaaaaa,Labaaaaaaa,
f,f,f,f,f,f,
f,f,f,f,f,f,


TEACHERS
f,f,f,f,f,f,
f,f,WHITE SPACE|teacher1|teacher2|teacher3|,WHITE SPACE|teacher1|teacher2|teacher3|,f,f,
f,f,f,f,f,f,
f,f,f,f,WHITE SPACE|teacher1|teacher2|teacher3|,WHITE SPACE|teacher1|teacher2|teacher3|,
f,f,f,f,f,f,
f,f,f,f,f,f,


ROOM
NA,NA,NA,NA,NA,NA,
NA,NA,CS114|CS115|,CS114|CS115|,NA,NA,
NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,CS114|CS115|,CS114|CS115|,
NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,


